timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
42151308,0,32767,32767,32767,-329,-329,32767
42167309,0,32767,32767,32767,-329,-329,32767
42180450,0,32767,32767,32767,-291,-291,32767
42196474,0,32767,32767,32767,-291,-291,32767
42211961,0,32767,-2,32767,-315,-315,32767
42227339,0,32767,32767,32767,-309,-309,32767
42242465,0,32767,32767,32767,-305,-305,32767
42257616,0,32767,32767,32767,-303,-303,32767
42272459,0,32767,32767,32767,-300,-300,32767
42287337,0,32767,32767,32767,-297,-297,32767
42302221,0,32767,32767,32767,-298,-298,32767
42317242,0,32767,-2,32767,-299,-299,32767
42332611,0,32767,32767,32767,-304,-304,32767
42347111,0,32767,32767,32767,-299,-299,32767
42362410,0,32767,32767,32767,-298,-298,32767
42378331,0,32767,32767,32767,-312,-312,32767
42392805,0,32767,32767,32767,-304,-304,32767
42408556,0,32767,32767,32767,-302,-302,32767
42423918,0,32767,-2,32767,-311,-311,32767
42438897,0,32767,32767,32767,-303,-303,32767
42455760,0,32767,32767,32767,-318,-318,32767
42470226,0,32767,32767,32767,-314,-314,32767
42486344,0,32767,32767,32767,-306,-306,32767
42499681,0,32767,32767,32767,-294,-294,32767
42514399,0,32767,32767,32767,-280,-280,32767
42530491,0,32767,-1,32767,-308,-308,32767
42546494,0,32767,32767,32767,-321,-321,32767
42560041,0,32767,32767,32767,-296,-296,32767
42577305,0,32767,32767,32767,-309,-309,32767
42591665,0,32767,32767,32767,-316,-316,32767
42605675,0,32767,32767,32767,-283,-283,32767
42620974,0,32767,32767,32767,-293,-293,32767
42635992,0,32767,-1,32767,-303,-303,32767
42650786,0,32767,32767,32767,-298,-298,32767
42666486,0,32767,32767,32767,-305,-305,32767
42681358,0,32767,32767,32767,-306,-306,32767
42696323,0,32767,32767,32767,-299,-299,32767
42711184,0,32767,32767,32767,-298,-298,32767
42727638,0,32767,32767,32767,-313,-313,32767
42742540,0,32767,-2,32767,-314,-314,32767
42758244,0,32767,32767,32767,-306,-306,32767
42773082,0,32767,32767,32767,-305,-305,32767
42789203,0,32767,32767,32767,-310,-310,32767
42803444,0,32767,32767,32767,-304,-304,32767
42818796,0,32767,32767,32767,-295,-295,32767
42835308,0,32767,32767,32767,-319,-319,32767
42849930,0,32767,-2,32767,-312,-312,32767
42865480,0,32767,32767,32767,-301,-301,32767
42880460,0,32767,32767,32767,-305,-305,32767
42895909,0,32767,32767,32767,-305,-305,32767
42911444,0,32767,32767,32767,-310,-310,32767
42927319,0,32767,32767,32767,-314,-314,32767
42941730,0,32767,32767,32767,-303,-303,32767
42957882,0,32767,-1,32767,-305,-305,32767
42972305,0,32767,32767,32767,-306,-306,32767
42987645,0,32767,32767,32767,-298,-298,32767
43002531,0,32767,32767,32767,-302,-302,32767
43017396,0,32767,32767,32767,-297,-297,32767
43033350,0,32767,32767,32767,-308,-308,32767
43050308,0,32767,32767,32767,-330,-330,32767
43063588,0,32767,-2,32767,-302,-302,32767
43078479,0,32767,32767,32767,-281,-281,32767
43096306,0,32767,32767,32767,-328,-328,32767
43110999,0,32767,32767,32767,-325,-325,32767
43125351,0,32767,32767,32767,-290,-290,32767
43140825,0,32767,32767,32767,-299,-299,32767
43157164,0,32767,32767,32767,-318,-318,32767
43172116,0,32767,-2,32767,-313,-313,32767
43187014,0,32767,32767,32767,-299,-299,32767
43201031,0,32767,32767,32767,-289,-289,32767
43218333,0,32767,32767,32767,-313,-313,32767
43234309,0,32767,32767,32767,-333,-333,32767
43247322,0,32767,32767,32767,-290,-290,32767
43262322,0,32767,32767,32767,-280,-280,32767
43277492,0,32767,-1,32767,-301,-301,32767
43293656,0,32767,32767,32767,-313,-313,32767
43307412,0,32767,32767,32767,-300,-300,32767
43322850,0,32767,32767,32767,-292,-292,32767
43340306,0,32767,32767,32767,-329,-329,32767
43353393,0,32767,32767,32767,-305,-305,32767
43368898,0,32767,32767,32767,-285,-285,32767
43384028,0,32767,-2,32767,-307,-307,32767
43401345,0,32767,32767,32767,-325,-325,32767
43414835,0,32767,32767,32767,-308,-308,32767
43430076,0,32767,32767,32767,-287,-287,32767
43447305,0,32767,32767,32767,-325,-325,32767
43462305,0,32767,32767,32767,-323,-323,32767
43476261,0,32767,32767,32767,-289,-289,32767
43491597,0,32767,-1,32767,-292,-292,32767
43508326,0,32767,32767,32767,-321,-321,32767
43522201,0,32767,32767,32767,-307,-307,32767
43537438,0,32767,32767,32767,-291,-291,32767
43553565,0,32767,32767,32767,-313,-313,32767
43567104,0,32767,32767,32767,-297,-297,32767
43582296,0,32767,32767,32767,-287,-287,32767
43597417,0,32767,-2,32767,-303,-303,32767
43613325,0,32767,32767,32767,-311,-311,32767
43628229,0,32767,32767,32767,-308,-308,32767
43643331,0,32767,32767,32767,-300,-300,32767
43659308,0,32767,32767,32767,-311,-311,32767
43673405,0,32767,32767,32767,-301,-301,32767
43687938,0,32767,32767,32767,-286,-286,32767
43702650,0,32767,-2,32767,-292,-292,32767
43718446,0,32767,32767,32767,-305,-305,32767
43735236,0,32767,32767,32767,-326,-326,32767
43749445,0,32767,32767,32767,-310,-310,32767
43764908,0,32767,32767,32767,-297,-297,32767
43780172,0,32767,32767,32767,-307,-307,32767
43795158,0,32767,32767,32767,-302,-302,32767
43810988,0,32767,-1,32767,-308,-308,32767
43824940,0,32767,32767,32767,-298,-298,32767
43839948,0,32767,32767,32767,-290,-290,32767
43854281,0,32767,32767,32767,-293,-293,32767
43869675,0,32767,32767,32767,-297,-297,32767
43884880,0,32767,32767,32767,-306,-306,32767
43900810,0,32767,32767,32767,-312,-312,32767
