timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
41459920,-0.0027440803,-0.009312786,0.0,0.0,0.99998826,-0.0013720249,-0.0046563717,-6.388733e-06,0.0,0.0,-0.6806228,1,0,0,0,0,0
41559569,-0.0023534363,-0.010136718,0.0,0.0,0.99998647,-0.0011767027,-0.005068334,-5.9640033e-06,0.0,0.0,-0.6813878,1,0,0,0,0,0
41652157,-0.0025044114,-0.010863641,0.0,0.0,0.99998444,-0.001252187,-0.00543179,-6.801722e-06,0.0,0.0,-0.6797743,1,0,0,0,0,0
41774132,-0.0036079152,-0.008841787,0.0,0.0,0.9999886,-0.0018039391,-0.0044208723,-7.975074e-06,0.0,0.0,-0.68059045,1,0,0,0,0,0
41871144,-0.0041732597,-0.0079487385,0.0,0.0,0.9999899,-0.0020866122,-0.00397435,-8.29301e-06,0.0,0.0,-0.67996657,1,0,0,0,0,0
41973493,-0.0061249025,-0.006758055,0.0,0.0,0.9999896,-0.003062429,-0.0033790055,-1.0348072e-05,0.0,0.0,-0.68002933,1,0,0,0,0,0
42068158,-0.0060600913,-0.006388035,0.0,0.0,0.9999903,-0.0030300256,-0.0031939978,-9.677988e-06,0.0,0.0,-0.68115544,1,0,0,0,0,0
42165258,-0.006691798,-0.004586624,0.0,0.0,0.9999918,-0.0033458837,-0.0022932969,-7.673168e-06,0.0,0.0,-0.68195873,1,0,0,0,0,0
42261153,-0.0070033777,-0.004445316,0.0,0.0,0.9999914,-0.003501673,-0.0022226425,-7.783034e-06,0.0,0.0,-0.66241884,1,0,0,0,0,0
42384211,-0.0074649225,-0.00447841,0.0,0.0,0.9999905,-0.0037324436,-0.0022391877,-8.357721e-06,0.0,0.0,-0.63778317,1,0,0,0,0,0
42479157,-0.007880728,-0.0032076682,0.0,0.0,0.99999094,-0.003940348,-0.001603821,-6.31967e-06,0.0,0.0,-0.6349634,1,0,0,0,0,0
42579147,-0.0069404794,-0.0028172785,0.0,0.0,0.99999297,-0.0034702292,-0.0014086302,-4.8883044e-06,0.0,0.0,-0.6349583,1,0,0,0,0,0
42674533,-0.006131939,-0.0023966301,0.0,0.0,0.9999946,-0.0030659628,-0.0011983091,-3.673991e-06,0.0,0.0,-0.6362867,1,0,0,0,0,0
