timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
30349306,-0.004631201,0.005057074,0.0019545006,4832,-4832,-0.06872967,-0.06100386,-9.774777,4172
30352299,0.0034106118,-0.005756708,0.00929169,2993,-2993,0.060396306,-0.09190747,-9.909508,4832
30359297,-0.0028806229,0.007970021,0.006695265,1990,-1990,-0.027228303,-0.022139547,-9.994061,5008
30365379,0.005371553,-0.007860761,0.007315178,6082,-6082,-0.026082823,-0.09938807,-9.814389,1990
30369304,0.002175919,-0.0005039095,0.0059971972,3925,-3925,0.025995092,-0.015341546,-9.672277,6082
30377300,0.002175919,-0.0005039095,0.0059971972,7996,-7996,0.07597292,0.022954589,-9.769732,3925
30383328,0.009757662,-0.0014544552,-0.0008468331,6028,-6028,0.07597292,0.022954589,-9.769732,7996
30392300,0.0009843495,0.00091859535,0.009740672,8972,-8972,-0.04512648,-0.08878502,-9.708407,6028
30397306,0.00040012464,-0.0068202685,0.0017505751,5006,-5006,-0.0025854206,-0.06742331,-9.85634,8972
30400296,0.004894737,-0.0082526645,0.0019167224,2990,-2990,0.05801642,-0.07944983,-9.75454,5006
30407300,0.0058468417,-0.0025345373,-0.005646935,7004,-7004,0.08195288,0.08660844,-9.790091,2990
30425300,0.0036981779,0.0045578075,-0.0033227478,18000,-18000,-0.017932728,0.027989313,-9.683827,7004
30429305,-0.009208757,0.0028762147,0.0017281319,4005,-4005,-0.09996975,0.03848732,-9.8115225,18000
30433326,0.008415284,0.0005391832,0.0047132727,4021,-4021,0.06317999,-0.09110125,-9.621971,4005
30438353,0.008415284,0.0005391832,0.0047132727,5027,-5027,0.06612447,0.061205912,-9.703168,4021
30443342,0.0038707736,0.0028170259,-0.009731763,4989,-4989,0.06612447,0.061205912,-9.703168,5027
30446296,-0.0039076135,0.0057539614,-0.0017480275,2954,-2954,0.069784686,0.07562514,-9.797363,4989
30449296,-0.0079712225,0.009465384,-0.0058526224,3000,-3000,0.071224675,0.031681396,-9.913939,2954
30453641,0.007659023,0.0047096503,-0.0050216555,4345,-4345,-0.08477326,0.044207677,-9.769853,3000
30457302,0.0052050827,-0.004904374,0.001039276,3661,-3661,0.015827421,-0.0015627164,-9.942159,4345
