timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
37469692,1.0622125,24.993435,101312.23,1.2037568
37486309,1.1229858,24.993435,101311.52,1.2037485
37499799,1.1097742,24.993435,101311.68,1.2037504
37515498,0.90895796,24.993435,101314.08,1.2037789
37532382,0.9829429,24.993435,101313.18,1.2037681
37547307,1.1203434,24.993435,101311.555,1.2037488
37561305,1.091278,24.993435,101311.9,1.203753
37575550,1.0384315,24.993435,101312.52,1.2037604
37591630,0.98030055,24.993435,101313.24,1.203769
37607540,1.0886357,24.993435,101311.914,1.2037531
37623568,0.89574635,24.993435,101314.25,1.2037809
37639305,1.0014391,24.993435,101312.984,1.2037659
37653167,1.0014391,24.993435,101312.984,1.2037659
37668385,0.96180433,24.993435,101313.45,1.2037715
37685214,0.95651966,24.993435,101313.5,1.203772
37699337,1.0410739,24.993435,101312.5,1.2037601
37714306,1.1071318,24.993435,101311.7,1.2037506
37730305,1.033147,24.993435,101312.58,1.203761
37744874,0.9961545,24.993435,101313.02,1.2037663
37760636,0.9459504,24.993435,101313.64,1.2037736
37774280,0.9168849,24.993435,101313.98,1.2037777
37789565,1.067497,24.993435,101312.18,1.2037563
37808459,0.9406658,24.993435,101313.71,1.2037745
37822307,0.99879676,24.993435,101312.99,1.203766
37836323,0.89574635,24.993435,101314.24,1.2037808
37850105,1.0595702,24.993435,101312.29,1.2037576
37865301,1.1097742,24.993435,101311.67,1.2037503
37880700,0.9036733,24.993435,101314.14,1.2037796
37895462,0.92216957,24.993435,101313.94,1.2037772
37910838,1.0886357,24.993435,101311.914,1.2037531
37926482,0.9961545,24.993435,101313.02,1.2037663
37943347,1.1044896,24.993435,101311.73,1.2037508
37956456,1.0727818,24.993435,101312.125,1.2037556
37974384,1.1282704,24.993435,101311.445,1.2037475
37987839,0.9406658,24.993435,101313.69,1.2037742
38003079,1.1256281,24.993435,101311.484,1.203748
38020304,1.1256281,24.993435,101311.484,1.203748
38033564,1.0040815,24.993435,101312.93,1.2037652
38049261,1.0067238,24.993435,101312.914,1.203765
38063854,1.0225776,24.993435,101312.7,1.2037625
38079471,0.9116003,24.993435,101314.04,1.2037784
38094150,0.9961545,24.993435,101313.02,1.2037663
38109029,0.90895796,24.993435,101314.07,1.2037787
38126304,1.0067238,24.993435,101312.914,1.203765
38141301,1.0701394,24.993435,101312.15,1.203756
38155653,1.0542855,24.993435,101312.336,1.2037581
38171394,0.98822755,24.993435,101313.13,1.2037677
38187652,1.1097742,24.993435,101311.67,1.2037503
38201572,1.0172931,24.993435,101312.77,1.2037634
38216747,0.99879676,24.993435,101313.016,1.2037662
38231462,1.0595702,24.993435,101312.28,1.2037575
38247054,1.0357893,24.993435,101312.57,1.203761
38261502,1.0437162,24.993435,101312.46,1.2037597
38278657,1.0807086,24.993435,101312.01,1.2037543
38292942,1.0780663,24.993435,101312.04,1.2037547
38309308,0.9485928,24.993435,101313.6,1.2037731
38323447,1.1018473,24.993435,101311.76,1.2037513
38337765,1.0146507,24.993435,101312.805,1.2037637
38353484,0.98558515,24.993435,101313.16,1.2037679
38370009,0.98558515,24.993435,101313.16,1.2037679
38384663,0.89574635,24.993435,101314.23,1.2037807
38400395,0.9776583,24.993435,101313.27,1.2037693
38414062,1.0120083,24.993435,101312.86,1.2037643
38429424,1.0807086,24.993435,101312.02,1.2037544
38446307,1.1229858,24.993435,101311.52,1.2037485
38459671,0.98558515,24.993435,101313.16,1.2037679
38476303,0.89574635,24.993435,101314.234,1.2037807
38491306,0.9036733,24.993435,101314.16,1.2037798
38507298,0.99351215,24.993435,101313.08,1.203767
38520924,1.0965626,24.993435,101311.81,1.2037519
38535768,0.97501594,24.993435,101313.3,1.2037696
38550367,1.0965626,24.993435,101311.81,1.2037519
38567040,0.90895796,24.993435,101314.07,1.2037787
38583329,1.0965626,24.993435,101311.836,1.2037522
38597308,1.1150589,24.993435,101311.62,1.2037497
38612305,1.0859933,24.993435,101311.96,1.2037537
38625918,0.9353812,24.993435,101313.766,1.2037752
38641770,0.90895796,24.993435,101314.07,1.2037787
38655873,0.9406658,24.993435,101313.69,1.2037742
38671663,0.96180433,24.993435,101313.445,1.2037714
38687073,0.9485928,24.993435,101313.62,1.2037734
38703582,0.97501594,24.993435,101313.3,1.2037696
38719329,1.033147,24.993435,101312.59,1.2037612
38732989,0.9908699,24.993435,101313.1,1.2037673
38749157,0.9908699,24.993435,101313.1,1.2037673
38764689,1.1256281,24.993435,101311.47,1.2037479
38780298,0.9353812,24.993435,101313.77,1.2037752
38795302,0.9353812,24.993435,101313.77,1.2037752
38809092,0.8983887,24.993435,101314.21,1.2037804
38827305,1.0992049,24.993435,101311.805,1.2037518
38841143,1.0965626,24.993435,101311.81,1.2037519
38855903,1.0516431,24.993435,101312.38,1.2037587
38870670,1.083351,24.993435,101311.98,1.2037538
38887193,1.1097742,24.993435,101311.67,1.2037503
38902317,1.1097742,24.993435,101311.67,1.2037503
38917337,0.93802345,24.993435,101313.74,1.2037748
38932861,1.0199354,24.993435,101312.74,1.203763
38948561,1.0780663,24.993435,101312.05,1.2037547
38962656,0.95651966,24.993435,101313.5,1.203772
38978793,1.0014391,24.993435,101312.97,1.2037656
38993342,1.0939202,24.993435,101311.84,1.2037523
39007144,0.9908699,24.993435,101313.09,1.2037672
39024356,1.083351,24.993435,101311.98,1.2037538
39042300,1.0727818,24.993435,101312.1,1.2037554
39055343,1.0727818,24.993435,101312.1,1.2037554
39069240,0.9829429,24.993435,101313.195,1.2037684
39086303,0.9538774,24.993435,101313.53,1.2037723
39101342,0.96444666,24.993435,101313.41,1.2037709
39116297,1.1124165,24.993435,101311.65,1.20375
39130698,1.0463586,24.993435,101312.43,1.2037593
39146558,1.0516431,24.993435,101312.37,1.2037585
39162306,0.98558515,24.993435,101313.15,1.2037678
39175443,0.92216957,24.993435,101313.92,1.203777
39190035,0.93009645,24.993435,101313.81,1.2037756
39205078,1.0410739,24.993435,101312.484,1.2037599
39220335,1.1018473,24.993435,101311.76,1.2037513
39235357,1.0437162,24.993435,101312.47,1.2037597
39250699,0.90631557,24.993435,101314.11,1.2037792
39267176,1.083351,24.993435,101311.99,1.2037541
39281634,0.95651966,24.993435,101313.516,1.2037722
39298397,0.92216957,24.993435,101313.94,1.2037772
39312092,0.9908699,24.993435,101313.09,1.2037672
39329303,0.9908699,24.993435,101313.09,1.2037672
39343006,1.0146507,24.993435,101312.8,1.2037636
39358238,0.90895796,24.993435,101314.08,1.2037789
39373471,1.0490009,24.993435,101312.41,1.203759
39388872,1.0490009,24.993435,101312.41,1.203759
39406072,1.067497,24.993435,101312.19,1.2037563
39420080,0.97237355,24.993435,101313.32,1.2037698
39434072,0.93802345,24.993435,101313.74,1.2037748
39449100,1.067497,24.993435,101312.18,1.2037563
39464717,0.93009645,24.993435,101313.83,1.2037759
39480882,1.0569278,24.993435,101312.305,1.2037578
39495432,0.94330806,24.993435,101313.67,1.203774
39510336,0.92481184,24.993435,101313.89,1.2037766
39525556,0.9829429,24.993435,101313.195,1.2037684
39541756,1.1203434,24.993435,101311.53,1.2037486
39555610,0.89310396,24.993435,101314.29,1.2037814
39573380,0.9168849,24.993435,101313.99,1.2037778
39587433,1.0595702,24.993435,101312.27,1.2037574
39602092,0.90631557,24.993435,101314.11,1.2037792
39618350,0.96708894,24.993435,101313.4,1.2037708
39632232,0.9168849,24.993435,101314.0,1.2037779
39647725,1.0622125,24.993435,101312.23,1.2037568
39662708,1.0146507,24.993435,101312.81,1.2037638
39679306,1.0384315,24.993435,101312.52,1.2037604
39694341,1.0859933,24.993435,101311.97,1.2037538
39708076,0.9485928,24.993435,101313.625,1.2037735
39723260,0.9697313,24.993435,101313.36,1.2037703
39739092,0.9697313,24.993435,101313.36,1.2037703
