timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
46411310,0.27681378,-0.03361163,0.47540256
46424484,0.27681378,-0.03361163,0.47540256
46441862,0.2749597,-0.0328743,0.4735739
46456066,0.2749597,-0.0328743,0.4735739
46470973,0.27702063,-0.031875588,0.47442326
46487169,0.27474523,-0.03142489,0.47150603
46501540,0.27701455,-0.03668186,0.4703867
46517046,0.27701455,-0.03668186,0.4703867
46534302,0.27637637,-0.03373674,0.46971607
46547820,0.27519515,-0.03130043,0.4714179
46565305,0.27745438,-0.030777028,0.47487208
46579169,0.27446687,-0.032470047,0.47004098
46594536,0.2779515,-0.03394819,0.47378913
46608530,0.2799554,-0.033873968,0.47198164
46625297,0.2784582,-0.031669468,0.47148916
46639132,0.2775788,-0.03511752,0.4675413
46654973,0.2775788,-0.03511752,0.4675413
46670379,0.27444804,-0.03178239,0.47019982
46687305,0.28019175,-0.037546564,0.47353885
46700860,0.2779126,-0.03654548,0.4679538
46717305,0.2779126,-0.03654548,0.4679538
46731444,0.2736892,-0.037448887,0.47099274
46746896,0.2808231,-0.030846244,0.47375375
46762533,0.27534732,-0.03004344,0.47179496
46780304,0.27534732,-0.03004344,0.47179496
46795297,0.27457803,-0.030233795,0.47416523
46808174,0.27457803,-0.030233795,0.47416523
46823892,0.27597883,-0.031280693,0.4740503
46839782,0.27563253,-0.03524223,0.47355586
46855196,0.27566662,-0.031487588,0.47106466
46870759,0.27566662,-0.031487588,0.47106466
46885430,0.2806349,-0.03486503,0.47464287
46902385,0.28104296,-0.034264117,0.47346315
46917050,0.27369213,-0.036124613,0.46817157
46930512,0.27835009,-0.030156232,0.47136822
46946380,0.27867264,-0.035040867,0.47468084
46964650,0.27867264,-0.035040867,0.47468084
46975975,0.2795143,-0.037376564,0.47390896
46993325,0.2795143,-0.037376564,0.47390896
47006551,0.2784276,-0.036455594,0.47532603
47024297,0.28008267,-0.033668745,0.47121865
47037813,0.28008267,-0.033668745,0.47121865
47053347,0.27454677,-0.030459149,0.47184289
47068545,0.2763611,-0.037687786,0.46757472
47083675,0.27780476,-0.033994917,0.4729816
47099497,0.27530465,-0.030904984,0.4681223
47114606,0.278318,-0.033540994,0.4710576
47128945,0.27845705,-0.030983848,0.468228
47144585,0.27845705,-0.030983848,0.468228
47163325,0.2764011,-0.030090125,0.4695011
47175438,0.2764011,-0.030090125,0.4695011
47191652,0.27379277,-0.031249546,0.47473663
47205768,0.27626655,-0.03676377,0.4685162
47225304,0.2807872,-0.032523777,0.46989405
47237488,0.2735376,-0.034479547,0.4752745
47252582,0.27783316,-0.03751907,0.47246528
47267399,0.2781052,-0.032781143,0.46924832
47282432,0.27570567,-0.03740958,0.4684786
47297765,0.27889848,-0.03253055,0.47391286
47313513,0.27889848,-0.03253055,0.47391286
47329427,0.27546737,-0.032752078,0.46881947
47344267,0.27997103,-0.030624831,0.4701552
47359918,0.28076646,-0.029841188,0.4694113
47376365,0.2794534,-0.036239594,0.47317177
47390031,0.2794534,-0.036239594,0.47317177
47405009,0.2751205,-0.032380506,0.4744533
47422913,0.28101093,-0.033935525,0.47076836
47436113,0.28101093,-0.033935525,0.47076836
47450974,0.27760744,-0.033452712,0.46827286
47465976,0.2787052,-0.031530593,0.47177297
47482304,0.27461663,-0.035568293,0.4689321
47497296,0.27717736,-0.036332063,0.47349527
47511020,0.27717736,-0.036332063,0.47349527
47527296,0.27637818,-0.03397741,0.47380802
47544306,0.27481744,-0.033681925,0.46920595
47558350,0.27782395,-0.03208407,0.4735741
47574303,0.2762673,-0.036986608,0.47526264
47587820,0.2762673,-0.036986608,0.47526264
47604303,0.28038317,-0.030540412,0.46913666
47618375,0.28003633,-0.03355718,0.47054031
47635300,0.28003633,-0.03355718,0.47054031
47649236,0.27567318,-0.033360995,0.47371063
47664595,0.27567318,-0.033360995,0.47371063
47679520,0.28091407,-0.03678403,0.47315437
47696303,0.28091407,-0.03678403,0.47315437
47712296,0.27635527,-0.03392166,0.47121584
47725914,0.27635527,-0.03392166,0.47121584
47740790,0.2801804,-0.031896,0.4693592
47757296,0.27649027,-0.035780326,0.4703827
47773348,0.27649027,-0.035780326,0.4703827
47786397,0.277733,-0.03349521,0.4750841
47801961,0.2746622,-0.03312376,0.4706323
47817618,0.27429733,-0.03388788,0.47095242
47832580,0.27429733,-0.03388788,0.47095242
47848194,0.27779186,-0.036937542,0.468369
47862910,0.2756344,-0.03202066,0.47152382
47880302,0.27345714,-0.032080725,0.47539055
47894723,0.280977,-0.036512077,0.47391373
47910296,0.27968815,-0.029886916,0.4728523
47924820,0.27499834,-0.033807408,0.46910778
47940495,0.28064352,-0.036657486,0.46908665
47954931,0.275645,-0.037499174,0.47157055
47972302,0.2768443,-0.033086985,0.47488415
47986681,0.27704588,-0.037715282,0.4710494
48001465,0.2748179,-0.037573718,0.46863744
48016080,0.2748179,-0.037573718,0.46863744
48030314,0.27760935,-0.034968197,0.4690674
48046049,0.27760935,-0.034968197,0.4690674
48061311,0.2736766,-0.031804938,0.46897164
48076125,0.27351096,-0.033194497,0.46910086
48091877,0.27351096,-0.033194497,0.46910086
48107206,0.27980015,-0.03246189,0.47209653
48124304,0.27980015,-0.03246189,0.47209653
48137548,0.27564782,-0.037568327,0.47540802
48152573,0.27483362,-0.035270475,0.47023103
48169302,0.2799828,-0.03512839,0.4721821
48183041,0.2799828,-0.03512839,0.4721821
48198554,0.27842253,-0.035423774,0.47138262
48213190,0.27463466,-0.036766704,0.47505754
48228746,0.27779293,-0.031780224,0.47065187
48243627,0.27839112,-0.030001607,0.467529
48260208,0.27576032,-0.03313886,0.47536767
48274392,0.27576032,-0.03313886,0.47536767
48289852,0.2773632,-0.031002956,0.47216392
48305189,0.27965862,-0.037552007,0.46826738
48322431,0.27961233,-0.035337042,0.4719884
48335630,0.2766132,-0.03668777,0.47331446
48350945,0.27417195,-0.036560897,0.47000903
48365993,0.27417195,-0.036560897,0.47000903
48381808,0.274589,-0.031140687,0.470994
48397379,0.274589,-0.031140687,0.470994
48413322,0.2748944,-0.037090898,0.47268477
48428328,0.27659538,-0.030224118,0.47245863
48441633,0.27659538,-0.030224118,0.47245863
48457286,0.28081334,-0.036630422,0.46847162
48472165,0.2801433,-0.03152451,0.4737474
48487789,0.2801433,-0.03152451,0.4737474
48503470,0.28105998,-0.029927306,0.4733918
48518950,0.2780121,-0.032882825,0.47206077
48534446,0.27973676,-0.03614423,0.4718223
48551383,0.27493748,-0.030633533,0.47351366
48565130,0.27493748,-0.030633533,0.47351366
48580060,0.27681485,-0.03591968,0.47337326
48595414,0.27891737,-0.033946242,0.46928573
48610212,0.27711108,-0.037479687,0.46812847
48625808,0.27598953,-0.032123767,0.4696622
48644297,0.27598953,-0.032123767,0.4696622
48655821,0.27428776,-0.036106717,0.47043976
48672304,0.2778617,-0.0362235,0.4722297
48685446,0.27831018,-0.029984593,0.47465283
48704298,0.27639952,-0.032070845,0.47399575
48717383,0.2781289,-0.03768727,0.47306338
48730965,0.27589902,-0.037578747,0.47021225
48746530,0.27557886,-0.03484772,0.47283876
48761959,0.27763504,-0.034816336,0.4697561
48776663,0.2788209,-0.03453849,0.4702117
48791511,0.27925774,-0.033758532,0.47192737
48806371,0.27925774,-0.033758532,0.47192737
48824303,0.27395052,-0.03480732,0.47060242
48839297,0.2766268,-0.035737246,0.46972468
48852311,0.27838433,-0.033325262,0.47487426
48867349,0.27676523,-0.03406112,0.47407293
48883046,0.27676523,-0.03406112,0.47407293
48898485,0.2752773,-0.03435202,0.4739171
48914785,0.2739525,-0.033151675,0.46821603
48928424,0.27983657,-0.036337573,0.46924874
48943821,0.27328435,-0.036007993,0.47184741
48960303,0.27953228,-0.033266667,0.47536823
48974966,0.2802048,-0.037507784,0.47292325
48988505,0.2802048,-0.037507784,0.47292325
49003950,0.27712458,-0.037100904,0.47356164
49021990,0.27580923,-0.036651522,0.46921146
49036381,0.280249,-0.033478457,0.46777162
49050956,0.280249,-0.033478457,0.46777162
49066463,0.28072837,-0.031932123,0.4751433
49081299,0.28085738,-0.029795807,0.47285172
49096265,0.27704456,-0.03463159,0.4748083
49112277,0.2809666,-0.030405462,0.46873152
49127085,0.2809666,-0.030405462,0.46873152
49144302,0.27937815,-0.03052083,0.47296435
49157844,0.27699515,-0.035568025,0.47039363
49172000,0.27438942,-0.029937383,0.472821
49188200,0.2765238,-0.035881247,0.47115576
49203423,0.2765238,-0.035881247,0.47115576
49217499,0.27431586,-0.034598634,0.4693696
49232543,0.2787201,-0.030105151,0.47034022
49248573,0.27455613,-0.03662118,0.4747344
49265303,0.27945185,-0.03516461,0.4685667
49278525,0.2774692,-0.0309563,0.4697912
49295304,0.27911007,-0.032074034,0.46965232
49310303,0.27999648,-0.033572197,0.47073346
49323658,0.27999648,-0.033572197,0.47073346
49338846,0.27807507,-0.030434737,0.47451273
49353476,0.27329808,-0.030385736,0.4745274
49368771,0.27329808,-0.030385736,0.4745274
49384296,0.2807212,-0.031568866,0.47067127
49398086,0.2791081,-0.03029224,0.47481546
49413119,0.28101978,-0.034165975,0.4693993
49428425,0.28029716,-0.030575009,0.47002754
49444296,0.2766879,-0.0328139,0.46937013
49458578,0.27882245,-0.03429412,0.47062835
49475303,0.27740538,-0.033259843,0.4727986
49488836,0.27767435,-0.0321985,0.47075555
49503259,0.27362698,-0.033918954,0.47155476
49518849,0.27935696,-0.033949953,0.47258383
49534726,0.27981538,-0.03301703,0.47173744
49550299,0.27549943,-0.030834664,0.47130758
49564117,0.27549943,-0.030834664,0.47130758
49580162,0.27585173,-0.031348232,0.47357154
49595236,0.27876347,-0.034960542,0.47258928
49612302,0.27821428,-0.033151142,0.47209796
49625665,0.2803157,-0.03181279,0.46986577
49641604,0.27758497,-0.033536565,0.47169247
49656687,0.2763695,-0.034623176,0.46997848
49672620,0.2763695,-0.034623176,0.46997848
49688246,0.27746946,-0.035795648,0.47147352
49702421,0.27746946,-0.035795648,0.47147352
49719302,0.2775925,-0.03371439,0.47439733
49734296,0.27731347,-0.034585997,0.4689199
49747682,0.2742424,-0.032009855,0.46954313
49764302,0.27436516,-0.035785165,0.46785408
49778189,0.2746324,-0.034477253,0.46798804
49793604,0.2746324,-0.034477253,0.46798804
49808243,0.2778343,-0.03309738,0.47317097
49823613,0.27706882,-0.033145033,0.47220927
49841297,0.27386004,-0.035327468,0.4684194
49853302,0.28009218,-0.031739324,0.4735143
49868531,0.27979502,-0.03185432,0.47153506
49884006,0.27769533,-0.03730314,0.47370353
49899500,0.27769533,-0.03730314,0.47370353
49915791,0.27652624,-0.034165572,0.47359857
49931338,0.27944407,-0.0333714,0.47136608
49946297,0.27826464,-0.037355363,0.4732632
49961194,0.27633703,-0.02997094,0.46957916
49976752,0.27929398,-0.03625274,0.47283435
49992037,0.27929398,-0.03625274,0.47283435
50008428,0.28108415,-0.03628987,0.4708316
50023037,0.28108415,-0.03628987,0.4708316
50039296,0.2781745,-0.033399895,0.47042564
50054728,0.27472544,-0.036278483,0.47501364
50067937,0.27679235,-0.035668716,0.47377935
50082498,0.2765319,-0.035936788,0.47284627
50098782,0.28120378,-0.03749989,0.47520497
50113011,0.27516344,-0.030775607,0.47102532
50128568,0.27516344,-0.030775607,0.47102532
50143517,0.27609223,-0.032397907,0.47543675
50159440,0.2733677,-0.034672156,0.4721202
50174553,0.27873906,-0.03398658,0.4750842
50190478,0.27873906,-0.03398658,0.4750842
50204955,0.2773043,-0.032767832,0.46950147
50223323,0.27374983,-0.033123955,0.47324648
50238323,0.2785173,-0.029820906,0.46856287
50251998,0.2785173,-0.029820906,0.46856287
50266915,0.2751766,-0.029910088,0.47162306
50282554,0.2751766,-0.029910088,0.47162306
50297394,0.27540252,-0.034522064,0.4693389
50313345,0.27514845,-0.032689933,0.47530767
50327671,0.28018472,-0.031141935,0.46888262
50343220,0.2737976,-0.029957706,0.4724023
50357642,0.2761878,-0.031151291,0.46855867
50372347,0.2791595,-0.030747931,0.47482038
50388245,0.2791595,-0.030747931,0.47482038
50402594,0.27937374,-0.03313764,0.46848002
50419338,0.2790867,-0.033996586,0.46996716
50433873,0.2790867,-0.033996586,0.46996716
50448704,0.27653617,-0.031444713,0.46803617
50464271,0.27755934,-0.03405683,0.47062123
50481490,0.27755934,-0.03405683,0.47062123
50495620,0.27461,-0.03680915,0.4730065
50510547,0.27461,-0.03680915,0.4730065
50525733,0.28122413,-0.036500126,0.47383803
50542011,0.27737254,-0.03152625,0.46922728
50558331,0.27737254,-0.03152625,0.46922728
50571394,0.27504414,-0.031248147,0.47035548
50587093,0.28105518,-0.0312745,0.47230724
50602608,0.27622485,-0.03414967,0.46792063
50618468,0.27622485,-0.03414967,0.46792063
50633474,0.2739523,-0.037505288,0.47259435
50651297,0.27433515,-0.03363065,0.4724586
50663882,0.2803404,-0.035471395,0.47049093
50680309,0.27812862,-0.032647435,0.4696184
50693607,0.2785437,-0.03258814,0.4732995
50709049,0.27713713,-0.035790473,0.47495374
50726341,0.2784048,-0.036736526,0.46902347
50740086,0.2784048,-0.036736526,0.46902347
50756381,0.27465123,-0.036346056,0.46926317
50770337,0.2791139,-0.031945843,0.4716385
50786303,0.2791139,-0.031945843,0.4716385
50804340,0.27515864,-0.035961047,0.47057328
50815765,0.27855006,-0.03220691,0.470987
50831722,0.273417,-0.033700436,0.47077093
50847971,0.273417,-0.033700436,0.47077093
50862217,0.27404916,-0.030567251,0.4731996
50879302,0.27404916,-0.030567251,0.4731996
50893768,0.27703616,-0.033814076,0.4715855
50908371,0.28053436,-0.03322501,0.46966156
50924374,0.28053436,-0.03322501,0.46966156
50940218,0.27859476,-0.036057655,0.4732805
50954911,0.27859476,-0.036057655,0.4732805
50972303,0.27860618,-0.031332105,0.4697381
50986018,0.27450556,-0.03465164,0.4683326
51001310,0.27817452,-0.03197254,0.4749311
51016332,0.2807048,-0.032167405,0.47083563
51030307,0.2807048,-0.032167405,0.47083563
51045901,0.2744938,-0.030414049,0.46811604
51062360,0.2751793,-0.030780155,0.4726504
51076506,0.2751793,-0.030780155,0.4726504
51092217,0.27443817,-0.031298354,0.4678614
51107553,0.27443817,-0.031298354,0.4678614
51122905,0.2767119,-0.037384905,0.47226888
51137774,0.273787,-0.034153942,0.47072273
51152551,0.27826437,-0.03568496,0.47441834
51168719,0.27826437,-0.03568496,0.47441834
51185302,0.27783483,-0.03327902,0.4712578
